Date,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
01-01-2014,33,46,40,657,1756
02-01-2014,35,50,43,657,1756
03-01-2014,36,45,41,657,1757
04-01-2014,32,41,37,658,1757
05-01-2014,24,38,31,658,1758
06-01-2014,22,39,31,658,1759
07-01-2014,28,45,37,658,1759
08-01-2014,30,41,36,659,1800
09-01-2014,29,42,36,659,1801
10-01-2014,30,47,39,659,1801
11-01-2014,32,47,40,659,1802
12-01-2014,30,47,39,659,1803
13-01-2014,29,42,36,659,1803
14-01-2014,31,47,39,659,1804
15-01-2014,35,51,43,659,1804
16-01-2014,35,55,45,700,1805
17-01-2014,42,57,50,700,1806
18-01-2014,38,54,46,700,1806
19-01-2014,37,51,44,700,1807
20-01-2014,36,53,45,659,1808
21-01-2014,40,55,48,659,1808
22-01-2014,31,44,38,659,1809
23-01-2014,31,46,39,659,1810
24-01-2014,39,54,47,659,1810
25-01-2014,41,62,52,659,1811
26-01-2014,42,58,50,659,1811
27-01-2014,38,51,45,659,1812
28-01-2014,29,39,34,658,1813
29-01-2014,30,36,33,658,1813
30-01-2014,28,39,34,658,1814
31-01-2014,33,42,38,658,1814
01-02-2014,35,50,43,657,1815
02-02-2014,37,49,43,657,1816
03-02-2014,36,50,43,657,1816
04-02-2014,36,55,46,656,1817
05-02-2014,38,53,46,656,1817
06-02-2014,39,49,44,655,1818
07-02-2014,39,52,46,655,1818
08-02-2014,37,52,45,655,1819
09-02-2014,34,57,46,654,1819
10-02-2014,36,54,45,654,1820
11-02-2014,34,52,43,653,1820
12-02-2014,35,52,44,653,1821
13-02-2014,35,49,42,652,1821
14-02-2014,36,48,42,652,1822
15-02-2014,38,55,47,651,1822
16-02-2014,36,46,41,651,1823
17-02-2014,36,43,40,650,1823
18-02-2014,37,45,41,649,1823
19-02-2014,35,46,41,649,1824
20-02-2014,33,47,40,648,1824
21-02-2014,34,48,41,647,1825
22-02-2014,34,48,41,647,1825
23-02-2014,33,48,41,646,1825
24-02-2014,33,50,42,646,1826
25-02-2014,33,47,40,645,1826
26-02-2014,36,50,43,644,1827
27-02-2014,36,55,46,643,1827
28-02-2014,36,57,47,643,1827
01-03-2014,41,55,48,642,1828
02-03-2014,31,45,38,641,1828
03-03-2014,31,42,37,640,1828
04-03-2014,34,43,39,640,1829
05-03-2014,33,46,40,639,1829
06-03-2014,35,46,41,638,1829
07-03-2014,34,54,44,637,1830
08-03-2014,34,43,39,637,1830
09-03-2014,36,47,42,636,1830
10-03-2014,32,47,40,635,1831
11-03-2014,31,49,40,634,1831
12-03-2014,29,50,40,633,1831
13-03-2014,33,55,44,632,1832
14-03-2014,36,51,44,632,1832
15-03-2014,32,48,40,631,1832
16-03-2014,31,49,40,630,1832
17-03-2014,36,53,45,629,1833
18-03-2014,35,53,44,628,1833
19-03-2014,35,53,44,627,1833
20-03-2014,33,48,41,626,1833
21-03-2014,30,48,39,626,1834
22-03-2014,30,43,37,625,1834
23-03-2014,32,45,39,624,1834
24-03-2014,31,51,41,623,1834
25-03-2014,34,53,44,622,1835
26-03-2014,35,55,45,621,1835
27-03-2014,31,46,39,620,1835
28-03-2014,29,43,36,620,1835
29-03-2014,32,39,36,619,1836
30-03-2014,32,41,37,618,1836
31-03-2014,31,42,37,617,1836
01-04-2014,34,45,40,616,1836
02-04-2014,33,52,43,615,1837
03-04-2014,36,51,44,614,1837
04-04-2014,31,50,41,614,1837
05-04-2014,31,51,41,613,1838
06-04-2014,35,49,42,612,1838
07-04-2014,35,49,42,611,1838
08-04-2014,35,52,44,610,1838
09-04-2014,36,53,45,610,1839
10-04-2014,35,55,45,609,1839
11-04-2014,37,56,47,608,1839
12-04-2014,36,52,44,607,1839
13-04-2014,32,49,41,606,1840
14-04-2014,31,50,41,606,1840
15-04-2014,36,53,45,605,1840
16-04-2014,40,59,50,604,1841
17-04-2014,42,58,50,603,1841
18-04-2014,43,60,52,602,1841
19-04-2014,43,60,52,602,1841
20-04-2014,41,57,49,601,1842
21-04-2014,40,54,47,600,1842
22-04-2014,38,58,48,600,1842
23-04-2014,41,58,50,559,1843
24-04-2014,41,59,50,558,1843
25-04-2014,43,59,51,558,1843
26-04-2014,45,62,54,557,1844
27-04-2014,42,53,48,556,1844
28-04-2014,40,53,47,556,1844
29-04-2014,39,53,46,555,1845
30-04-2014,37,50,44,554,1845
01-05-2014,36,53,45,554,1845
02-05-2014,38,51,45,553,1846
03-05-2014,36,55,46,553,1846
04-05-2014,36,55,46,552,1846
05-05-2014,40,54,47,552,1847
06-05-2014,40,58,49,551,1847
07-05-2014,42,60,51,550,1847
08-05-2014,42,61,52,550,1848
09-05-2014,44,59,52,550,1848
10-05-2014,42,56,49,549,1849
11-05-2014,40,56,48,549,1849
12-05-2014,38,55,47,548,1849
13-05-2014,38,56,47,548,1850
14-05-2014,40,55,48,547,1850
15-05-2014,41,58,50,547,1851
16-05-2014,44,60,52,547,1851
17-05-2014,,,,546,1851
18-05-2014,43,60,52,546,1852
19-05-2014,44,60,52,546,1852
20-05-2014,44,62,53,545,1853
21-05-2014,47,62,55,545,1853
22-05-2014,44,59,52,545,1853
23-05-2014,41,58,50,545,1854
24-05-2014,39,57,48,544,1854
25-05-2014,38,52,45,544,1855
26-05-2014,36,47,42,544,1855
27-05-2014,35,49,42,544,1855
28-05-2014,35,51,43,544,1856
29-05-2014,34,53,44,543,1856
30-05-2014,36,55,46,543,1856
31-05-2014,35,51,43,543,1857
01-06-2014,34,53,44,543,1857
02-06-2014,36,48,42,543,1858
03-06-2014,38,53,46,543,1858
04-06-2014,37,53,45,543,1858
05-06-2014,40,55,48,543,1859
06-06-2014,35,52,44,543,1859
07-06-2014,36,53,45,543,1859
08-06-2014,42,54,48,543,1900
09-06-2014,44,57,51,543,1900
10-06-2014,43,60,52,543,1900
11-06-2014,42,55,49,543,1901
12-06-2014,37,53,45,543,1901
13-06-2014,35,57,46,543,1901
14-06-2014,37,62,50,544,1902
15-06-2014,42,60,51,544,1902
16-06-2014,41,58,50,544,1902
17-06-2014,37,52,45,544,1902
18-06-2014,36,51,44,544,1903
19-06-2014,40,57,49,544,1903
20-06-2014,39,52,46,545,1903
21-06-2014,35,48,42,545,1903
22-06-2014,37,53,45,545,1904
23-06-2014,41,60,51,545,1904
24-06-2014,42,60,51,545,1904
25-06-2014,45,62,54,546,1904
26-06-2014,48,64,56,546,1904
27-06-2014,47,60,54,546,1904
28-06-2014,47,59,53,546,1905
29-06-2014,45,61,53,547,1905
30-06-2014,43,61,52,547,1905
01-07-2014,45,62,54,547,1905
02-07-2014,47,61,54,548,1905
03-07-2014,48,66,57,548,1905
04-07-2014,47,65,56,548,1905
05-07-2014,43,61,52,549,1905
06-07-2014,40,58,49,549,1905
07-07-2014,40,56,48,549,1905
08-07-2014,44,55,50,550,1905
09-07-2014,43,59,51,550,1905
10-07-2014,43,62,53,550,1905
11-07-2014,43,62,53,551,1905
12-07-2014,42,61,52,551,1905
13-07-2014,40,56,48,551,1904
14-07-2014,41,51,46,552,1904
15-07-2014,38,55,47,552,1904
16-07-2014,39,52,46,553,1904
17-07-2014,39,59,49,553,1904
18-07-2014,37,59,48,553,1904
19-07-2014,41,56,49,554,1903
20-07-2014,41,51,46,554,1903
21-07-2014,42,58,50,554,1903
22-07-2014,43,52,48,555,1902
23-07-2014,44,61,53,555,1902
24-07-2014,45,62,54,556,1902
25-07-2014,44,64,54,556,1901
26-07-2014,42,57,50,556,1901
27-07-2014,38,54,46,557,1901
28-07-2014,35,58,47,557,1900
29-07-2014,34,53,44,557,1900
30-07-2014,38,56,47,558,1859
31-07-2014,39,55,47,558,1859
01-08-2014,44,62,53,558,1859
02-08-2014,42,60,51,559,1858
03-08-2014,43,60,52,559,1858
04-08-2014,44,64,54,559,1857
05-08-2014,43,61,52,600,1857
06-08-2014,40,60,50,600,1856
07-08-2014,41,50,46,600,1855
08-08-2014,41,52,47,601,1855
09-08-2014,39,57,48,601,1854
10-08-2014,38,53,46,601,1854
11-08-2014,39,56,48,602,1853
12-08-2014,40,58,49,602,1852
13-08-2014,41,62,52,602,1852
14-08-2014,44,63,54,603,1851
15-08-2014,45,63,54,603,1850
16-08-2014,42,62,52,603,1850
17-08-2014,39,58,49,603,1849
18-08-2014,38,57,48,604,1848
19-08-2014,36,55,46,604,1848
20-08-2014,38,54,46,604,1847
21-08-2014,40,56,48,604,1846
22-08-2014,39,57,48,605,1845
23-08-2014,43,60,52,605,1845
24-08-2014,42,59,51,605,1844
25-08-2014,41,60,51,605,1843
26-08-2014,41,56,49,606,1842
27-08-2014,40,55,48,606,1841
28-08-2014,39,56,48,606,1841
29-08-2014,38,55,47,606,1840
30-08-2014,44,59,52,607,1839
31-08-2014,42,60,51,607,1838
01-09-2014,38,55,47,607,1837
02-09-2014,42,59,51,607,1836
03-09-2014,42,60,51,607,1836
04-09-2014,44,58,51,608,1835
05-09-2014,44,61,53,608,1834
06-09-2014,41,58,50,608,1833
07-09-2014,39,54,47,608,1832
08-09-2014,39,53,46,608,1831
09-09-2014,39,54,47,609,1830
10-09-2014,40,55,48,609,1829
11-09-2014,42,56,49,609,1828
12-09-2014,39,60,50,609,1828
13-09-2014,41,60,51,609,1827
14-09-2014,42,59,51,610,1826
15-09-2014,43,57,50,610,1825
16-09-2014,40,52,46,610,1824
17-09-2014,39,53,46,610,1823
18-09-2014,37,55,46,610,1822
19-09-2014,40,54,47,611,1821
20-09-2014,41,51,46,611,1820
21-09-2014,38,52,45,611,1819
22-09-2014,40,56,48,611,1819
23-09-2014,41,59,50,611,1818
24-09-2014,41,58,50,612,1817
25-09-2014,40,56,48,612,1816
26-09-2014,41,61,51,612,1815
27-09-2014,42,52,47,612,1814
28-09-2014,42,56,49,612,1813
29-09-2014,40,54,47,613,1812
30-09-2014,35,52,44,613,1811
01-10-2014,37,53,45,613,1811
02-10-2014,38,52,45,613,1810
03-10-2014,36,52,44,614,1809
04-10-2014,38,52,45,614,1808
05-10-2014,40,52,46,614,1807
06-10-2014,38,54,46,614,1806
07-10-2014,42,53,48,615,1805
08-10-2014,42,56,49,615,1805
09-10-2014,42,60,51,615,1804
10-10-2014,39,58,49,615,1803
11-10-2014,39,54,47,616,1802
12-10-2014,36,53,45,616,1801
13-10-2014,33,53,43,616,1801
14-10-2014,37,54,46,616,1800
15-10-2014,39,58,49,617,1759
16-10-2014,43,61,52,617,1758
17-10-2014,44,51,48,617,1758
18-10-2014,43,48,46,618,1757
19-10-2014,42,54,48,618,1756
20-10-2014,41,60,51,618,1755
21-10-2014,38,59,49,619,1755
22-10-2014,41,55,48,619,1754
23-10-2014,36,56,46,620,1753
24-10-2014,40,58,49,620,1753
25-10-2014,39,58,49,620,1752
26-10-2014,37,59,48,621,1752
27-10-2014,39,55,47,621,1751
28-10-2014,40,58,49,622,1750
29-10-2014,41,57,49,622,1750
30-10-2014,39,56,48,622,1749
31-10-2014,37,56,47,623,1749
01-11-2014,37,51,44,623,1748
02-11-2014,41,54,48,624,1748
03-11-2014,40,54,47,624,1747
04-11-2014,37,48,43,625,1747
05-11-2014,39,56,48,625,1746
06-11-2014,43,56,50,626,1746
07-11-2014,38,57,48,626,1746
08-11-2014,36,55,46,627,1745
09-11-2014,37,59,48,627,1745
10-11-2014,42,60,51,628,1745
11-11-2014,42,57,50,628,1744
12-11-2014,41,56,49,629,1744
13-11-2014,39,56,48,629,1744
14-11-2014,38,54,46,630,1743
15-11-2014,37,51,44,630,1743
16-11-2014,38,55,47,631,1743
17-11-2014,42,57,50,632,1743
18-11-2014,38,56,47,632,1743
19-11-2014,37,56,47,633,1743
20-11-2014,39,51,45,633,1742
21-11-2014,39,55,47,634,1742
22-11-2014,38,54,46,635,1742
23-11-2014,33,53,43,635,1742
24-11-2014,41,59,50,636,1742
25-11-2014,42,59,51,636,1742
26-11-2014,41,55,48,637,1742
27-11-2014,39,57,48,638,1742
28-11-2014,38,56,47,638,1742
29-11-2014,35,54,45,639,1742
30-11-2014,35,50,43,640,1742
01-12-2014,35,52,44,640,1743
02-12-2014,35,51,43,641,1743
03-12-2014,38,51,45,641,1743
04-12-2014,42,52,47,642,1743
05-12-2014,39,50,45,643,1743
06-12-2014,36,51,44,643,1743
07-12-2014,36,56,46,644,1744
08-12-2014,38,58,48,645,1744
09-12-2014,39,56,48,645,1744
10-12-2014,39,60,50,646,1745
11-12-2014,42,60,51,646,1745
12-12-2014,37,55,46,647,1745
13-12-2014,37,56,47,648,1746
14-12-2014,38,56,47,648,1746
15-12-2014,40,57,49,649,1746
16-12-2014,40,57,49,649,1747
17-12-2014,38,57,48,650,1747
18-12-2014,40,56,48,650,1748
19-12-2014,42,59,51,651,1748
20-12-2014,39,56,48,651,1749
21-12-2014,36,52,44,652,1749
22-12-2014,31,47,39,652,1750
23-12-2014,31,41,36,653,1750
24-12-2014,36,45,41,653,1751
25-12-2014,40,54,47,654,1751
26-12-2014,41,53,47,654,1752
27-12-2014,37,51,44,655,1752
28-12-2014,39,56,48,655,1753
29-12-2014,36,54,45,655,1753
30-12-2014,36,53,45,656,1754
31-12-2014,34,53,44,656,1755
01-01-2015,38,51,45,657,1756
02-01-2015,34,40,37,657,1756
03-01-2015,29,36,33,657,1757
04-01-2015,31,44,38,658,1757
05-01-2015,37,51,44,658,1758
06-01-2015,38,52,45,658,1759
07-01-2015,38,54,46,658,1759
08-01-2015,38,57,48,659,1800
09-01-2015,36,55,46,659,1801
10-01-2015,34,51,43,659,1801
11-01-2015,38,54,46,659,1802
12-01-2015,40,57,49,659,1803
13-01-2015,41,56,49,659,1803
14-01-2015,35,58,47,659,1804
15-01-2015,38,58,48,659,1804
16-01-2015,40,56,48,700,1805
17-01-2015,38,58,48,700,1806
18-01-2015,37,57,47,700,1806
19-01-2015,37,59,48,700,1807
20-01-2015,36,56,46,659,1808
21-01-2015,40,58,49,659,1808
22-01-2015,39,54,47,659,1809
23-01-2015,43,65,54,659,1810
24-01-2015,41,61,51,659,1810
25-01-2015,40,55,48,659,1811
26-01-2015,42,59,51,659,1811
27-01-2015,36,58,47,659,1812
28-01-2015,36,54,45,658,1813
29-01-2015,35,54,45,658,1813
30-01-2015,36,54,45,658,1814
31-01-2015,33,53,43,658,1814
01-02-2015,36,53,45,657,1815
02-02-2015,38,54,46,657,1816
03-02-2015,41,54,48,657,1816
04-02-2015,39,50,45,656,1817
05-02-2015,38,50,44,656,1817
06-02-2015,33,47,40,655,1818
07-02-2015,32,54,43,655,1818
08-02-2015,43,59,51,655,1819
09-02-2015,42,55,49,654,1819
10-02-2015,35,50,43,654,1820
11-02-2015,34,54,44,653,1820
12-02-2015,37,53,45,653,1821
13-02-2015,40,54,47,652,1821
14-02-2015,38,57,48,652,1822
15-02-2015,37,51,44,651,1822
16-02-2015,37,53,45,651,1823
17-02-2015,36,54,45,650,1823
18-02-2015,36,54,45,649,1823
19-02-2015,38,56,47,649,1824
20-02-2015,39,54,47,648,1824
21-02-2015,36,51,44,647,1825
22-02-2015,35,52,44,647,1825
23-02-2015,40,53,47,646,1825
24-02-2015,40,56,48,646,1826
25-02-2015,39,57,48,645,1826
26-02-2015,36,48,42,644,1827
27-02-2015,35,49,42,643,1827
28-02-2015,35,44,40,643,1827
01-03-2015,33,44,39,642,1828
02-03-2015,32,43,38,641,1828
03-03-2015,33,46,40,640,1828
04-03-2015,33,39,36,640,1829
05-03-2015,33,48,41,639,1829
06-03-2015,35,49,42,638,1829
07-03-2015,38,53,46,637,1830
08-03-2015,32,46,39,637,1830
09-03-2015,33,37,35,636,1830
10-03-2015,34,42,38,635,1831
11-03-2015,31,37,34,634,1831
12-03-2015,32,39,36,633,1831
13-03-2015,31,41,36,632,1832
14-03-2015,31,47,39,632,1832
15-03-2015,33,51,42,631,1832
16-03-2015,36,54,45,630,1832
17-03-2015,36,57,47,629,1833
18-03-2015,36,57,47,628,1833
19-03-2015,39,60,50,627,1833
20-03-2015,38,61,50,626,1833
21-03-2015,41,60,51,626,1834
22-03-2015,37,56,47,625,1834
23-03-2015,38,58,48,624,1834
24-03-2015,36,56,46,623,1834
25-03-2015,38,54,46,622,1835
26-03-2015,34,59,47,621,1835
27-03-2015,39,58,49,620,1835
28-03-2015,42,58,50,620,1835
29-03-2015,39,57,48,619,1836
30-03-2015,36,54,45,618,1836
31-03-2015,31,50,41,617,1836
01-04-2015,32,49,41,616,1836
02-04-2015,31,49,40,615,1837
03-04-2015,35,50,43,614,1837
04-04-2015,39,51,45,614,1837
05-04-2015,35,53,44,613,1838
06-04-2015,35,52,44,612,1838
07-04-2015,33,47,40,611,1838
08-04-2015,33,52,43,610,1838
09-04-2015,34,51,43,610,1839
10-04-2015,35,49,42,609,1839
11-04-2015,35,48,42,608,1839
12-04-2015,33,48,41,607,1839
13-04-2015,36,53,45,606,1840
14-04-2015,39,52,46,606,1840
15-04-2015,37,48,43,605,1840
16-04-2015,34,47,41,604,1841
17-04-2015,34,50,42,603,1841
18-04-2015,37,53,45,602,1841
19-04-2015,40,58,49,602,1841
20-04-2015,39,60,50,601,1842
21-04-2015,43,63,53,600,1842
22-04-2015,40,60,50,600,1842
23-04-2015,39,57,48,559,1843
24-04-2015,43,58,51,558,1843
25-04-2015,43,57,50,558,1843
26-04-2015,41,55,48,557,1844
27-04-2015,37,54,46,556,1844
28-04-2015,33,55,44,556,1844
29-04-2015,37,59,48,555,1845
30-04-2015,36,57,47,554,1845
01-05-2015,37,53,45,554,1845
02-05-2015,35,50,43,553,1846
03-05-2015,33,53,43,553,1846
04-05-2015,40,55,48,552,1846
05-05-2015,42,59,51,552,1847
06-05-2015,42,63,53,551,1847
07-05-2015,41,59,50,550,1847
08-05-2015,38,59,49,550,1848
09-05-2015,38,54,46,550,1848
10-05-2015,36,51,44,549,1849
11-05-2015,37,55,46,549,1849
12-05-2015,37,51,44,548,1849
13-05-2015,33,45,39,548,1850
14-05-2015,31,49,40,547,1850
15-05-2015,32,52,42,547,1851
16-05-2015,33,56,45,547,1851
17-05-2015,38,60,49,546,1851
18-05-2015,38,58,48,546,1852
19-05-2015,39,55,47,546,1852
20-05-2015,39,54,47,545,1853
21-05-2015,37,55,46,545,1853
22-05-2015,39,59,49,545,1853
23-05-2015,41,55,48,545,1854
24-05-2015,39,59,49,544,1854
25-05-2015,42,62,52,544,1855
26-05-2015,43,64,54,544,1855
27-05-2015,44,57,51,544,1855
28-05-2015,43,60,52,544,1856
29-05-2015,44,62,53,543,1856
30-05-2015,41,54,48,543,1856
31-05-2015,39,52,46,543,1857
01-06-2015,38,54,46,543,1857
02-06-2015,41,56,49,543,1858
03-06-2015,41,55,48,543,1858
04-06-2015,39,55,47,543,1858
05-06-2015,37,53,45,543,1859
06-06-2015,36,55,46,543,1859
07-06-2015,40,54,47,543,1859
08-06-2015,38,56,47,543,1900
09-06-2015,38,53,46,543,1900
10-06-2015,37,49,43,543,1900
11-06-2015,34,46,40,543,1901
12-06-2015,32,50,41,543,1901
13-06-2015,39,52,46,543,1901
14-06-2015,42,57,50,544,1902
15-06-2015,41,63,52,544,1902
16-06-2015,48,61,55,544,1902
17-06-2015,46,65,56,544,1902
18-06-2015,45,67,56,544,1903
19-06-2015,43,61,52,544,1903
20-06-2015,43,60,52,545,1903
21-06-2015,45,60,53,545,1903
22-06-2015,45,59,52,545,1904
23-06-2015,46,65,56,545,1904
24-06-2015,42,60,51,545,1904
25-06-2015,42,59,51,546,1904
26-06-2015,42,57,50,546,1904
27-06-2015,38,56,47,546,1904
28-06-2015,42,55,49,546,1905
29-06-2015,40,56,48,547,1905
30-06-2015,40,56,48,547,1905
01-07-2015,37,54,46,547,1905
02-07-2015,38,54,46,548,1905
03-07-2015,38,56,47,548,1905
04-07-2015,39,56,48,548,1905
05-07-2015,41,59,50,549,1905
06-07-2015,43,60,52,549,1905
07-07-2015,39,55,47,549,1905
08-07-2015,40,53,47,550,1905
09-07-2015,38,55,47,550,1905
10-07-2015,40,55,48,550,1905
11-07-2015,46,60,53,551,1905
12-07-2015,46,58,52,551,1905
13-07-2015,45,57,51,551,1904
14-07-2015,45,60,53,552,1904
15-07-2015,44,66,55,552,1904
16-07-2015,43,59,51,553,1904
17-07-2015,41,54,48,553,1904
18-07-2015,39,56,48,553,1904
19-07-2015,43,56,50,554,1903
20-07-2015,40,51,46,554,1903
21-07-2015,37,49,43,554,1903
22-07-2015,37,52,45,555,1902
23-07-2015,39,59,49,555,1902
24-07-2015,43,59,51,556,1902
25-07-2015,45,56,51,556,1901
26-07-2015,42,58,50,556,1901
27-07-2015,44,55,50,557,1901
28-07-2015,40,55,48,557,1900
29-07-2015,46,62,54,557,1900
30-07-2015,48,64,56,558,1859
31-07-2015,45,63,54,558,1859
01-08-2015,46,66,56,558,1859
02-08-2015,45,52,49,559,1858
03-08-2015,44,51,48,559,1858
04-08-2015,40,54,47,559,1857
05-08-2015,43,56,50,600,1857
06-08-2015,41,54,48,600,1856
07-08-2015,41,59,50,600,1855
08-08-2015,43,64,54,601,1855
09-08-2015,43,63,53,601,1854
10-08-2015,40,59,50,601,1854
11-08-2015,39,55,47,602,1853
12-08-2015,40,55,48,602,1852
13-08-2015,40,56,48,602,1852
14-08-2015,44,56,50,603,1851
15-08-2015,41,53,47,603,1850
16-08-2015,41,52,47,603,1850
17-08-2015,42,53,48,603,1849
18-08-2015,40,52,46,604,1848
19-08-2015,39,52,46,604,1848
20-08-2015,38,51,45,604,1847
21-08-2015,42,65,54,604,1846
22-08-2015,46,59,53,605,1845
23-08-2015,45,57,51,605,1845
24-08-2015,43,48,46,605,1844
25-08-2015,42,52,47,605,1843
26-08-2015,42,55,49,606,1842
27-08-2015,41,57,49,606,1841
28-08-2015,43,59,51,606,1841
29-08-2015,42,59,51,606,1840
